Label,Value
22F,0.00018062587
29G,0.00017036335
58M,0.00016291844
12P,0.00015991316
10J,0.0001536825
03K,0.00014724246
57P,0.00014003894
23F,0.00012705654
53Q,0.00012243622
07J,0.00011864449
59M,0.00011475813
43G,0.00011120611
01F,0.000104412735
28L,0.000103659775
25K,0.000101784215
13J,8.862687e-05
09K,8.485932e-05
30K,8.375286e-05
54Q,7.616989e-05
31M,7.437298e-05
60N,7.1278664e-05
29H,6.986984e-05
27N,5.598427e-05
41Q,5.5561137e-05
14E,5.0703642e-05
16E,4.944216e-05
30G,3.5784047e-05
17J,2.4017743e-05
30H,1.821922e-05
15E,1.2436529e-05
16F,1.2226456e-05
05N,6.7344845e-06
01C,0
02C,0
03C,0
04C,0
05C,0
06C,0
07C,0
08C,0
09C,0
10C,0
11C,0
12C,0
13C,0
14C,0
15C,0
16C,0
17C,0
18C,0
19C,0
20C,0
21C,0
22C,0
23C,0
24C,0
25C,0
26C,0
27C,0
28C,0
29C,0
30C,0
31C,0
32C,0
33C,0
34C,0
35C,0
36C,0
37C,0
38C,0
39C,0
40C,0
41C,0
42C,0
43C,0
44C,0
45C,0
46C,0
47C,0
48C,0
49C,0
50C,0
51C,0
52C,0
53C,0
54C,0
55C,0
56C,0
57C,0
58C,0
59C,0
60C,0
01D,0
02D,0
03D,0
04D,0
05D,0
06D,0
07D,0
08D,0
09D,0
10D,0
11D,0
12D,0
13D,0
14D,0
15D,0
16D,0
17D,0
18D,0
19D,0
20D,0
21D,0
22D,0
23D,0
24D,0
25D,0
26D,0
27D,0
28D,0
29D,0
30D,0
31D,0
32D,0
33D,0
34D,0
35D,0
36D,0
37D,0
38D,0
39D,0
40D,0
41D,0
42D,0
43D,0
44D,0
45D,0
46D,0
47D,0
48D,0
49D,0
50D,0
51D,0
52D,0
53D,0
54D,0
55D,0
56D,0
57D,0
58D,0
59D,0
60D,0
01E,0.0
02E,0.0
03E,0.0
04E,0.0
05E,0.0
06E,0.0
07E,0.0
08E,0.0
09E,0.0
10E,0.0
11E,0.0
12E,0.0
13E,0.0
22E,0.0
24E,0.0
25E,0.0
27E,0.0
28E,0.0
29E,0.0
30E,0.0
31E,0.0
32E,0.0
33E,0.0
34E,0.0
35E,0.0
36E,0.0
37E,0.0
38E,0.0
39E,0.0
40E,0.0
41E,0.0
42E,0.0
43E,0.0
44E,0.0
45E,0.0
46E,0.0
47E,0.0
48E,0.0
49E,0.0
50E,0.0
51E,0.0
52E,0.0
53E,0.0
54E,0.0
55E,0.0
56E,0.0
57E,0.0
58E,0.0
59E,0.0
60E,0.0
02F,0.0
03F,0.0
04F,0.0
05F,0.0
06F,0.0
07F,0.0
08F,0.0
09F,0.0
10F,0.0
11F,0.0
12F,0.0
13F,0.0
14F,0.0
15F,0.0
26F,0.0
27F,0.0
28F,0.0
29F,0.0
30F,0.0
32F,0.0
33F,0.0
34F,0.0
35F,0.0
36F,0.0
37F,0.0
38F,0.0
39F,0.0
40F,0.0
44F,0.0
45F,0.0
46F,0.0
47F,0.0
48F,0.0
49F,0.0
50F,0.0
51F,0.0
52F,0.0
53F,0.0
54F,0.0
55F,0.0
56F,0.0
02G,0.0
03G,0.0
04G,0.0
05G,0.0
06G,0.0
07G,0.0
08G,0.0
09G,0.0
10G,0.0
11G,0.0
12G,0.0
13G,0.0
14G,0.0
15G,0.0
16G,0.0
17G,0.0
22G,0.0
23G,0.0
24G,0.0
25G,0.0
26G,0.0
27G,0.0
28G,0.0
31G,0.0
32G,0.0
33G,0.0
34G,0.0
35G,0.0
36G,0.0
40G,0.0
41G,0.0
44G,0.0
45G,0.0
46G,0.0
47G,0.0
48G,0.0
49G,0.0
50G,0.0
51G,0.0
52G,0.0
53G,0.0
56G,0.0
57G,0.0
01H,0.0
02H,0.0
03H,0.0
04H,0.0
05H,0.0
06H,0.0
07H,0.0
08H,0.0
09H,0.0
10H,0.0
11H,0.0
12H,0.0
13H,0.0
14H,0.0
15H,0.0
16H,0.0
23H,0.0
24H,0.0
25H,0.0
26H,0.0
27H,0.0
31H,0.0
32H,0.0
36H,0.0
37H,0.0
38H,0.0
39H,0.0
40H,0.0
41H,0.0
42H,0.0
44H,0.0
45H,0.0
46H,0.0
47H,0.0
48H,0.0
49H,0.0
02J,0.0
03J,0.0
04J,0.0
05J,0.0
08J,0.0
11J,0.0
14J,0.0
15J,0.0
16J,0.0
18J,0.0
24J,0.0
25J,0.0
26J,0.0
27J,0.0
28J,0.0
29J,0.0
30J,0.0
31J,0.0
32J,0.0
37J,0.0
39J,0.0
40J,0.0
41J,0.0
42J,0.0
43J,0.0
44J,0.0
45J,0.0
46J,0.0
47J,0.0
48J,0.0
10K,0.0
11K,0.0
12K,0.0
13K,0.0
14K,0.0
15K,0.0
16K,0.0
17K,0.0
27K,0.0
28K,0.0
29K,0.0
31K,0.0
42K,0.0
43K,0.0
44K,0.0
45K,0.0
46K,0.0
47K,0.0
48K,0.0
08L,0.0
09L,0.0
10L,0.0
11L,0.0
12L,0.0
13L,0.0
14L,0.0
15L,0.0
16L,0.0
26L,0.0
27L,0.0
29L,0.0
31L,0.0
42L,0.0
43L,0.0
44L,0.0
45L,0.0
46L,0.0
03M,0.0
04M,0.0
06M,0.0
08M,0.0
09M,0.0
10M,0.0
11M,0.0
12M,0.0
13M,0.0
14M,0.0
26M,0.0
27M,0.0
29M,0.0
30M,0.0
41M,0.0
44M,0.0
45M,0.0
46M,0.0
02N,0.0
06N,0.0
07N,0.0
08N,0.0
09N,0.0
10N,0.0
11N,0.0
12N,0.0
13N,0.0
14N,0.0
24N,0.0
25N,0.0
26N,0.0
40N,0.0
41N,0.0
42N,0.0
45N,0.0
01P,0.0
02P,0.0
03P,0.0
04P,0.0
05P,0.0
06P,0.0
07P,0.0
08P,0.0
09P,0.0
